Codigo;Tipo;Externo;Interno;Altura
5883;TEFLON;72.0;4.0;2.7
5893;TEFLON;80.0;3.8;2.6
5895;TEFLON;120.0;10.0;4.0
5897;TEFLON;132.2;1.1;2.9
5902;TEFLON;22.5;0.7;2.5
5905;TEFLON;46.0;6.1;3.3
5908;TEFLON;63.0;3.8;2.8
5915;TEFLON;18.0;1.3;2.0
5917;TEFLON;134.0;7.0;3.5
5945;TEFLON;79.37;7.5;2.4
5947;TEFLON;125.0;2.0;5.0
5949;TEFLON;45.0;4.5;2.2
5950;TEFLON;32.0;3.5;1.8
5972;TEFLON;135.0;7.15;3.5
5975;TEFLON;76.2;9.3;3.2
5982;TEFLON;50.0;4.7;2.0
5987;TEFLON;61.0;1.5;5.2
5989;TEFLON;65.0;1.5;7.2
5991;TEFLON;28.2;31.5;3.5
5993;TEFLON;58.0;3.6;1.0
5994;TEFLON;75.0;1.7;9.0
5998;TEFLON;70.0;1.7;6.0
6006;TEFLON;125.0;4.8;3.5
6007;TEFLON;30.0;5.5;2.5
6021;TEFLON;44.0;4.5;2.0
6032;TEFLON;172.45;7.9;8.1
6048;TEFLON;42.9;2.2;1.85
6063;TEFLON;63.0;6.0;3.5
6087;TEFLON;105.0;7.0;2.3
6104;TEFLON;96.0;3.1;3.0
6105;TEFLON;101.6;7.1;4.2
6114;TEFLON;115.0;6.0;3.5
6116;TEFLON;109.0;7.0;2.6
6122;TEFLON;100.0;1.3;2.4
6125;TEFLON;63.5;4.9;1.9
6127;TEFLON;136.95;2.8;3.8
6142;TEFLON;129.0;6.0;3.5
6148;TEFLON;105.0;6.0;2.5
6153;TEFLON;105.0;1.2;2.3
6178;TEFLON;89.0;3.8;2.2
6192;TEFLON;82.5;9.3;3.2
6201;TEFLON;85.0;5.8;2.5
6207;TEFLON;82.0;4.0;2.3
6213;TEFLON;60.4;4.0;3.0
6240;TEFLON;82.55;3.0;3.0
6244;TEFLON;50.8;4.5;3.8
6245;TEFLON;63.0;4.5;3.8
6246;TEFLON;32.0;4.0;3.0
6247;TEFLON;64.0;7.0;2.3
6248;TEFLON;44.45;3.2;1.6
6253;TEFLON;94.0;5.8;2.5
6256;TEFLON;125.0;6.0;2.5
6257;TEFLON;105.0;6.2;2.5
6259;TEFLON;35.5;2.2;2.0
6288;TEFLON;57.5;4.0;2.8
6289;TEFLON;63.4;3.0;1.85
6290;TEFLON;75.6;4.0;2.67
6292;TEFLON;89.2;6.1;3.3
6294;TEFLON;99.0;8.2;1.5
6306;TEFLON;130.0;7.9;2.9
6307;TEFLON;190.0;7.9;2.8
6337;TEFLON;51.0;2.9;1.6
6345;TEFLON;84.5;4.8;2.5
6347;TEFLON;70.0;4.6;3.0
6358;TEFLON;73.5;6.0;3.5
6399;TEFLON;70.0;4.7;2.5
6478;TEFLON;80.0;8.0;3.0
6487;TEFLON;94.65;6.1;3.2
6494;TEFLON;75.0;6.0;2.5
6500;TEFLON;70.0;6.9;2.4
6501;TEFLON;88.9;6.9;2.3
6502;TEFLON;127.0;6.9;2.3
6503;TEFLON;101.6;6.9;2.4
6504;TEFLON;114.3;6.9;2.4
6540;TEFLON;135.0;8.0;3.5
6577;TEFLON;50.0;6.0;3.0
6578;TEFLON;50.8;3.5;3.2
6579;TEFLON;79.0;5.5;2.55
6593;TEFLON;24.3;1.3;2.0
6630;TEFLON;82.5;9.3;3.2
6631;TEFLON;109.0;4.0;1.7
6640;TEFLON;44.2;1.0;3.0
6648;TEFLON;95.0;3.0;7.5
6666;TEFLON;58.0;4.2;2.0
6681;TEFLON;51.7;1.2;3.0
6682;TEFLON;96.7;3.6;3.0
6692;TEFLON;120.0;2.5;4.0
6700;TEFLON;108.0;6.9;2.4
6707;TEFLON;137.0;143.5;1.2
6715;TEFLON;40.0;6.0;2.4
6716;TEFLON;63.5;8.0;3.2
6718;TEFLON;76.2;8.0;3.0
6725;TEFLON;60.9;2.9;3.0
6743;TEFLON;51.4;3.9;2.6
6746;TEFLON;243.9;4.0;2.7
6747;TEFLON;201.6;4.0;2.8
6748;TEFLON;232.0;4.0;2.8
6749;TEFLON;189.1;4.0;2.7
6753;TEFLON;245.72;1.5;3.5
6757;TEFLON;275.4;4.0;2.7
6759;TEFLON;96.25;6.1;3.3
6770;TEFLON;122.0;3.0;1.5
6782;TEFLON;76.2;3.2;2.4
6825;TEFLON;70.0;5.6;3.5
6841;TEFLON;63.5;3.0;3.0
6848;TEFLON;132.0;2.6;4.5
6849;TEFLON;40.3;4.5;3.8
6893;TEFLON;165.1;8.0;3.17
6895;TEFLON;158.75;8.0;3.17
6897;TEFLON;152.4;8.0;3.17
6905;TEFLON;125.0;5.8;2.5
6907;TEFLON;111.5;6.5;2.0
6912;TEFLON;100.2;7.8;2.4
6926;TEFLON;143.5;8.0;3.2
6983;TEFLON;70.0;5.9;3.3
8020;TEFLON;25.4;1.2;1.5
8022T;TEFLON;25.86;1.24;1.35
8023T;TEFLON;30.0;1.2;1.3
8109;TEFLON;12.2;1.2;2.2
8116;TEFLON;23.79;1.34;2.18
8132;TEFLON;49.5;1.2;2.0
8132T;TEFLON;49.5;1.2;2.0
8229T;TEFLON;66.88;1.27;3.0
8333T;TEFLON;73.02;1.35;4.76
9001;TEFLON;64.0;7.0;2.3
9007;TEFLON;50.0;2.0;1.3
9009;TEFLON;38.0;4.0;2.5
9010;TEFLON;40.0;4.7;2.0
9014;TEFLON;38.2;4.1;3.0
9016;TEFLON;50.8;1.1;1.9
9017;TEFLON;26.0;1.2;1.5
9019;TEFLON;25.4;3.1;2.0
9020;TEFLON;23.5;0.8;1.4
9021;TEFLON;7.0;1.3;1.4
9022;TEFLON;23.5;1.2;1.4
9023;TEFLON;8.0;1.2;1.1
9024;TEFLON;32.0;1.2;2.0
9025;TEFLON;76.0;1.3;3.0
9043;TEFLON;71.0;4.0;2.0
9044;TEFLON;140.4;3.1;7.0
9048;TEFLON;33.0;2.2;0.8
9055;TEFLON;38.1;3.5;2.5
9076;TEFLON;40.0;0.8;2.5
9085;TEFLON;65.8;6.1;2.8
9086;TEFLON;28.0;3.0;1.65
9087;TEFLON;54.0;3.0;3.2
9089;TEFLON;91.0;1.35;3.0
9095;TEFLON;12.5;3.4;2.0
9098;TEFLON;32.0;1.9;1.8
9101;TEFLON;50.5;3.5;3.65
9102;TEFLON;94.1;1.7;7.3
9106;TEFLON;99.5;1.3;2.5
9125;TEFLON;73.0;3.0;6.25
9130;TEFLON;53.8;3.15;3.5
9161;TEFLON;100.0;6.9;2.4
9164;TEFLON;80.0;3.0;3.0
9165;TEFLON;84.5;2.5;3.65
9169;TEFLON;41.8;6.0;2.5
9170;TEFLON;76.2;8.8;2.4
9178;TEFLON;169.0;1.9;5.0
9185;TEFLON;27.3;1.0;2.0
9187;TEFLON;48.5;3.9;2.55
9192;TEFLON;25.8;1.3;2.9
9195;TEFLON;41.0;1.0;3.0
9202;TEFLON;158.0;2.0;3.0
9208;TEFLON;212.0;2.5;4.5
9209;TEFLON;86.0;1.5;2.5
9224;TEFLON;14.0;0.6;1.5
9229;TEFLON;80.0;6.2;2.5
9233;TEFLON;31.0;1.3;3.0
9236;TEFLON;22.0;1.3;2.0
9243;TEFLON;48.5;1.3;2.5
9244;TEFLON;111.5;2.0;5.0
9251;TEFLON;64.8;1.3;2.5
9258;TEFLON;77.0;1.5;2.5
9260;TEFLON;56.5;1.7;4.5
9267;TEFLON;88.5;1.7;4.8
9274;TEFLON;24.0;1.1;1.8
9275;TEFLON;86.0;2.2;4.8
9286;TEFLON;81.5;1.5;3.5
9289;TEFLON;57.0;0.9;7.2
9295;TEFLON;31.5;3.0;0.8
9296;TEFLON;14.0;1.3;1.5
9298;TEFLON;14.5;1.3;1.5
9299;TEFLON;26.5;0.8;3.0
9300;TEFLON;33.2;1.2;2.0
9301;TEFLON;15.2;1.0;1.6
9302;TEFLON;21.0;1.6;1.0
9305;TEFLON;98.0;1.3;2.8
9306;TEFLON;127.8;1.3;2.7
9307;TEFLON;114.0;1.3;2.7
9309;TEFLON;69.5;2.9;3.0
9312;TEFLON;70.0;1.3;2.8
9319;TEFLON;27.0;2.0;2.5
9322;TEFLON;40.0;1.5;2.5
9328;TEFLON;15.2;1.3;2.0
9344;TEFLON;69.5;1.2;2.4
9345;TEFLON;70.0;2.0;5.0
9346;TEFLON;85.0;2.0;5.0
9347;TEFLON;110.0;2.0;5.0
9348;TEFLON;80.0;2.0;5.0
9349;TEFLON;95.0;2.0;5.0
9350;TEFLON;120.0;2.0;5.0
9357;TEFLON;128.2;1.2;2.5
9363;TEFLON;138.0;3.0;3.5
9389;TEFLON;39.9;4.5;3.2
9395;TEFLON;30.0;2.7;1.55
9398;TEFLON;43.4;6.0;2.5
9403;TEFLON;151.0;6.0;3.3
9407;TEFLON;127.0;8.8;2.5
9411;TEFLON;18.5;0.85;1.35
9412;TEFLON;11.0;1.2;1.5
9417;TEFLON;70.9;3.0;2.65
9427;TEFLON;100.0;7.5;3.0
9430;TEFLON;121.0;7.0;3.3
9432;TEFLON;16.4;1.75;0.65
9434;TEFLON;32.7;2.5;1.85
9439;TEFLON;35.5;1.5;1.5
9446;TEFLON;38.3;2.0;1.0
9447;TEFLON;57.0;4.6;3.2
9464;TEFLON;13.2;1.75;0.65
9465;TEFLON;102.0;1.3;3.0
9468;TEFLON;69.0;5.0;2.3
9479;TEFLON;116.0;1.0;3.0
9485;TEFLON;10.0;1.9;1.0
9504;TEFLON;95.25;6.9;3.17
9506;TEFLON;63.5;6.0;3.2
9507;TEFLON;88.9;6.0;3.2
9515;TEFLON;127.0;9.5;4.0
9516;TEFLON;95.25;6.0;2.4
9519;TEFLON;18.5;1.2;1.35
9529;TEFLON;41.5;2.0;1.1
9530;TEFLON;13.5;0.8;0.8
9531;TEFLON;45.3;2.25;2.0
9533;TEFLON;9.0;1.7;0.6
9534;TEFLON;40.0;1.3;2.4
9536;TEFLON;29.0;2.3;1.5
9549;TEFLON;13.0;1.9;1.0
9550;TEFLON;25.2;4.7;1.75
9551;TEFLON;36.5;0.8;2.2
9554;TEFLON;55.5;4.0;2.6
9564;TEFLON;51.0;4.2;2.0
9567;TEFLON;76.0;7.0;4.0
9568;TEFLON;88.6;1.2;3.0
9574;TEFLON;30.0;0.8;1.85
9575;TEFLON;82.5;4.65;3.0
9577;TEFLON;89.0;7.4;3.0
9588;TEFLON;101.6;1.3;3.3
9596;TEFLON;25.4;3.2;1.8
9599;TEFLON;46.5;1.3;3.0
9600;TEFLON;71.5;1.3;3.0
9601;TEFLON;82.0;3.6;3.0
9602;TEFLON;114.0;3.6;3.0
9605;TEFLON;46.5;2.4;3.0
9606;TEFLON;50.5;6.1;2.5
9607;TEFLON;57.0;1.3;3.2
9609;TEFLON;28.0;3.2;1.85
9615;TEFLON;20.2;3.3;1.2
9667;TEFLON;22.0;1.8;0.8
9669;TEFLON;28.7;1.4;1.35
9670;TEFLON;45.0;2.9;2.9
9682;TEFLON;38.7;2.3;1.5
9688;TEFLON;41.8;5.3;2.5
9689;TEFLON;40.4;3.9;2.6
9693;TEFLON;42.8;3.0;1.6
9694;TEFLON;45.4;3.5;1.3
9696;TEFLON;133.6;1.3;2.3
9700;TEFLON;6.0;1.2;1.6
9707;TEFLON;37.3;1.0;1.65
9714;TEFLON;37.3;2.0;1.65
9716;TEFLON;202.0;7.9;5.0
9721;TEFLON;6.2;1.4;1.55
9732;TEFLON;36.8;1.2;2.2
9733;TEFLON;57.4;3.0;3.2
9740;TEFLON;12.0;3.5;2.0
9743;TEFLON;59.0;1.3;2.5
9744;TEFLON;19.6;3.2;1.8
9749;TEFLON;25.5;3.0;1.6
9750;TEFLON;39.0;3.0;1.8
9751;TEFLON;139.1;1.3;2.9
9752;TEFLON;160.0;9.7;4.0
9755;TEFLON;63.5;6.0;3.17
9757;TEFLON;12.7;3.5;2.5
9759;TEFLON;12.2;1.9;0.6
9761;TEFLON;60.8;4.0;2.85
9776;TEFLON;90.0;7.5;5.0
9777;TEFLON;15.5;1.4;1.4
9786;TEFLON;70.0;6.2;3.0
9790;TEFLON;20.2;2.9;1.65
9801;TEFLON;24.8;1.1;2.0
9803;TEFLON;48.5;2.9;2.25
9808;TEFLON;64.5;4.0;2.0
9809;TEFLON;31.7;6.7;2.2
9832;TEFLON;63.2;1.3;3.0
9838;TEFLON;38.0;9.5;2.5
9842;TEFLON;50.2;4.1;2.5
9843;TEFLON;35.5;5.0;2.0
9845;TEFLON;89.0;3.1;3.0
9849;TEFLON;57.3;3.8;2.7
9852;TEFLON;40.0;4.0;2.3
9861;TEFLON;112.0;6.1;3.3
9862;TEFLON;53.7;4.0;2.5
9863;TEFLON;64.0;4.0;2.5
9864;TEFLON;14.5;1.15;2.0
9865;TEFLON;40.0;4.5;2.0
9872;TEFLON;13.0;0.6;1.0
9879;TEFLON;105.0;3.0;1.85
9880;TEFLON;80.0;1.25;2.5
9881;TEFLON;22.0;1.2;1.35
9883;TEFLON;24.0;1.5;4.13
9886;TEFLON;26.0;2.5;5.0
9889;TEFLON;27.75;1.5;4.0
9892;TEFLON;30.0;1.9;5.0
9913;TEFLON;35.5;2.2;2.0
9915;TEFLON;28.5;4.0;1.85
9929;TEFLON;72.6;2.0;4.8
9931;TEFLON;45.0;4.0;2.5
9932;TEFLON;50.8;6.0;1.9
9935;TEFLON;75.5;6.0;3.5
9943;TEFLON;32.0;3.0;1.7
9944;TEFLON;57.3;2.9;2.7
9947;TEFLON;25.3;3.0;1.5
9948;TEFLON;32.4;3.0;2.0
9954;TEFLON;51.5;3.8;2.2
9959;TEFLON;38.1;4.0;2.8
9962;TEFLON;12.7;1.8;0.8
9966;TEFLON;16.3;3.0;1.65
9975;TEFLON;7.5;12.5;1.3
9977;TEFLON;38.0;1.3;2.8
AG7069;TEFLON;140.0;6.0;4.0
AG7071;TEFLON;140.0;2.0;4.5
AG7074;TEFLON;88.9;6.0;3.5
AG7110;TEFLON;127.0;7.0;4.2
AG7118;TEFLON;57.15;3.2;1.4
AG7127;TEFLON;75.0;2.5;3.1
AG7129;TEFLON;117.0;8.0;3.17
AG7157;TEFLON;110.0;6.9;2.8
AG7168;TEFLON;100.0;2.0;4.8
AG7169;TEFLON;80.0;3.0;5.0
AG7171;TEFLON;85.0;3.0;5.0
AG7173;TEFLON;115.0;3.0;3.0
AG7175;TEFLON;45.0;3.0;1.8
AG7189;TEFLON;88.9;8.0;3.2
AG7219;TEFLON;127.0;6.1;3.2
AG7237;TEFLON;127.0;9.3;3.2
AG7238;TEFLON;76.0;6.3;3.0
AG7242;TEFLON;202.0;3.2;3.5
AG7245;TEFLON;78.0;3.0;6.3
AG7251;TEFLON;90.2;5.9;3.0
AG7252;TEFLON;76.2;9.3;3.2
AG7253;TEFLON;101.6;9.3;3.2
AG7262;TEFLON;95.0;2.5;5.0
AG7264;TEFLON;68.0;3.0;2.25
AG7266;TEFLON;65.0;1.5;4.5
AG7276;TEFLON;32.0;4.7;1.7
AG7280;TEFLON;76.2;6.1;2.4
AG7320;TEFLON;50.0;2.2;1.9
AG7321;TEFLON;38.0;2.2;2.0
AG7322;TEFLON;36.0;2.3;1.6
AG7345;TEFLON;82.0;1.25;3.0
AG7348;TEFLON;65.0;4.0;2.7
AG7371;TEFLON;136.0;6.9;2.4
AG7373;TEFLON;134.5;1.3;3.0
AG7408;TEFLON;101.6;1.25;3.0
AG7411;TEFLON;108.0;1.2;3.0
AG7412;TEFLON;125.4;1.25;2.7
AG7416;TEFLON;38.8;1.8;3.4
AG7419;TEFLON;123.4;3.0;3.7
AG7424;TEFLON;70.0;4.9;1.85
AG7450;TEFLON;95.25;8.8;2.4
AG7453;TEFLON;127.0;11.3;3.7
AG7456;TEFLON;114.3;8.8;2.4
AG7459;TEFLON;88.9;8.8;2.5
AG7462;TEFLON;101.6;8.8;2.4
AG7463;TEFLON;55.0;1.3;2.5
