Codigo;Tipo;Externo;Interno;Altura
4456;GUIA;116.36;15.9;3.17
4457;GUIA;98.7;12.7;3.17
4458;GUIA;82.55;25.4;3.17
4459;GUIA;83.85;12.7;3.17
4522;GUIA;220.0;19.0;3.25
4528;GUIA;127.0;25.0;3.17
4556;GUIA;127.0;10.0;4.0
4580;GUIA;66.0;25.0;1.5
4597;GUIA;115.0;15.0;3.0
4621;GUIA;140.0;15.0;5.0
4687;GUIA;234.95;57.15;3.17
4688;GUIA;132.08;63.5;2.54
4703;GUIA;134.2;12.8;3.05
4705;GUIA;120.65;19.05;3.17
4739;GUIA;140.0;15.0;3.0
4760;GUIA;111.1;31.75;3.17
4822;GUIA;150.0;20.5;3.5
4840;GUIA;115.0;15.0;1.5
4845;GUIA;130.0;40.0;3.5
4877;GUIA;228.6;12.7;3.17
4889;GUIA;160.0;15.0;3.0
4904;GUIA;140.0;30.0;3.5
4905;GUIA;150.0;15.0;3.0
4977;GUIA;177.8;25.4;3.17
4985;GUIA;105.0;25.0;2.5
4989;GUIA;;;
5059;GUIA;50.8;9.5;2.5
5084;GUIA;65.0;6.0;2.5
5094;GUIA;27.0;7.0;1.5
5133;GUIA;80.0;6.0;2.5
5180;GUIA;47.5;25.4;1.5
5336;GUIA;30.0;9.5;2.0
5355;GUIA;29.0;6.35;1.8
5386;GUIA;50.8;9.5;3.17
5402-2;GUIA;36.75;5.6;2.5
5406;GUIA;50.8;10.5;3.17
5462;GUIA;45.0;10.0;2.0
5552;GUIA;65.0;5.4;2.5
5600;GUIA;44.0;9.5;2.7
5626;GUIA;75.0;5.5;2.5
5721;GUIA;82.5;12.7;3.17
5734;GUIA;44.45;12.7;3.17
5737;GUIA;70.0;10.0;2.5
5741;GUIA;1.1;;
5763;GUIA;115.0;8.0;2.5
5847;GUIA;80.0;9.5;2.4
5850;GUIA;125.0;15.0;2.5
5862;GUIA;1.3;;
5864;GUIA;42.0;4.0;1.5
5875;GUIA;75.0;9.5;2.3
5880;GUIA;54.0;5.5;2.5
5884;GUIA;72.0;5.5;2.5
5889;GUIA;80.0;5.5;2.5
5892-2;GUIA;24.05;5.6;2.5
5907;GUIA;63.0;5.5;2.5
5929;GUIA;59.0;9.5;2.5
5957;GUIA;50.8;15.0;3.0
5981;GUIA;49.5;5.2;3.17
5984;GUIA;65.0;6.0;2.3
6002;GUIA;63.0;5.0;3.17
6003;GUIA;75.0;55.0;2.5
6023;GUIA;65.0;6.0;3.0
6049-2;GUIA;25.0;5.6;2.5
6073;GUIA;65.0;15.0;3.0
6083;GUIA;39.24;19.05;2.16
6115;GUIA;52.5;10.0;4.0
6118;GUIA;101.6;10.0;4.0
6126;GUIA;70.0;24.5;3.3
6128;GUIA;80.0;24.5;3.3
6147;GUIA;105.0;12.5;3.0
6182;GUIA;52.0;6.4;2.2
6188;GUIA;47.62;12.5;3.17
6200;GUIA;85.73;9.5;2.5
6212;GUIA;59.0;5.5;2.5
6215;GUIA;44.0;9.5;2.5
6226;GUIA;90.0;9.5;2.5
6232;GUIA;70.0;7.0;2.5
6272;GUIA;110.0;15.0;2.5
6348;GUIA;56.0;5.0;2.5
6352;GUIA;45.0;14.0;2.5
6353;GUIA;75.0;18.0;2.5
6364;GUIA;41.0;19.5;3.0
6372;GUIA;31.75;12.7;2.0
6377;GUIA;50.0;20.0;2.5
6477;GUIA;48.0;25.0;2.0
6644;GUIA;70.0;9.5;2.5
6669;GUIA;73.0;13.0;3.0
6687;GUIA;28.0;10.0;2.5
6731;GUIA;64.0;6.0;2.4
6740;GUIA;30.0;8.0;2.95
6741;GUIA;30.0;13.0;2.95
6765;GUIA;3.3;;
6777;GUIA;77.0;8.0;3.17
6860;GUIA;69.4;10.2;3.8
6867;GUIA;63.0;15.0;3.0
6906;GUIA;3.1;;
6908;GUIA;40.0;9.5;3.17
6924;GUIA;76.2;6.35;2.5
6925;GUIA;125.0;12.7;3.17
6928;GUIA;143.3;12.7;3.17
6W1-1410-375;GUIA;35.8;9.52;1.95
6W10-2756-276;GUIA;70.0;7.0;2.5
6W10-3543-374;GUIA;90.0;9.5;2.5
6W2-1500-375;GUIA;1.1;;
6W2-4000-427;GUIA;101.6;10.85;3.18
6W2-4921-500;GUIA;125.0;12.7;3.17
6W3-2125-1000;GUIA;54.0;25.4;1.5
6W5-1614-768;GUIA;41.0;19.5;3.0
6W5-1968-590;GUIA;50.0;15.0;3.0
6W5-2000-590);GUIA;50.8;15.0;3.0
6W5-2205-1000;GUIA;55.0;25.0;3.0
6W5-2756-590;GUIA;70.0;15.0;3.0
6W5-4921-590;GUIA;125.0;15.0;3.0
6W5-4921-787;GUIA;125.0;20.0;3.0
6W6-1814-750;GUIA;46.09;19.05;2.4
6W6-3375-250;GUIA;85.73;6.35;2.4
6W8-1826-495;GUIA;46.38;12.57;3.2
7434;GUIA;33.0;30.2;1.5
9008;GUIA;46.0;15.0;3.0
9034;GUIA;38.0;15.0;1.5
9052;GUIA;66.0;12.5;3.0
9112;GUIA;41.9;9.5;2.0
9123;GUIA;53.0;15.0;1.5
9139;GUIA;130.0;25.0;2.5
9145;GUIA;50.0;5.5;2.5
9174;GUIA;28.6;13.0;2.0
9191;GUIA;29.0;12.2;2.0
9198;GUIA;45.0;8.0;2.5
9238;GUIA;60.0;9.5;2.5
9262;GUIA;38.1;6.35;3.17
9372;GUIA;30.0;7.3;2.0
9373;GUIA;34.0;9.5;2.0
9374;GUIA;22.0;9.5;2.0
9436;GUIA;75.0;25.0;2.5
9461;GUIA;100.0;5.4;2.4
9494;GUIA;39.0;16.0;1.5
9532;GUIA;68.0;12.7;3.17
9584;GUIA;40.0;12.7;2.5
9594;GUIA;60.0;16.0;3.0
9595;GUIA;2.0;;
9617;GUIA;65.0;15.0;3.2
9683;GUIA;38.1;4.8;2.5
9783;GUIA;20.88;10.0;2.5
9825;GUIA;30.4;5.6;2.5
9920;GUIA;1.1;;
9924;GUIA;43.1;5.6;2.5
9960;GUIA;28.58;9.5;1.58
9963;GUIA;14.9;5.0;1.0
9964;GUIA;20.9;5.0;1.5
AG7001;GUIA;42.0;5.6;2.5
AG7040;GUIA;50.8;25.4;1.58
AG7041;GUIA;3.1;1.1;
AG7047;GUIA;65.0;15.0;1.5
AG7050;GUIA;80.0;6.0;3.17
AG7061;GUIA;21.9;13.0;3.0
AG7077;GUIA;92.5;10.0;2.9
AG7083;GUIA;62.15;5.6;2.5
AG7097;GUIA;2.1;;
AG7098;GUIA;66.68;18.4;1.55
AG7099;GUIA;60.35;18.4;1.55
AG7100;GUIA;70.0;18.0;3.0
AG7101;GUIA;47.8;7.0;1.9
AG7108;GUIA;76.8;10.0;2.9
AG7109;GUIA;59.8;7.0;1.9
AG7111;GUIA;99.8;10.0;2.9
AG7114;GUIA;57.15;9.5;3.17
AG7121;GUIA;63.0;9.5;2.9
AG7122;GUIA;49.0;8.0;2.0
AG7125;GUIA;68.0;10.0;2.0
AG7130;GUIA;117.0;12.7;3.17
AG7144;GUIA;80.0;10.0;2.9
AG7153;GUIA;95.0;5.9;2.5
AG7156;GUIA;95.0;6.0;3.9
AG7164;GUIA;105.0;9.5;2.5
AG7166;GUIA;100.0;9.5;2.5
AG7172;GUIA;20.88;5.6;2.5
AG7179;GUIA;53.97;18.5;1.6
AG7196;GUIA;1.1;2.0;
AG7216;GUIA;39.0;19.0;2.0
AG7221;GUIA;120.0;6.0;4.0
AG7222;GUIA;110.0;6.0;3.0
AG7226;GUIA;110.0;7.0;3.17
AG7239;GUIA;119.0;5.9;3.0
AG7246;GUIA;115.0;10.0;4.5
AG7249;GUIA;105.0;6.0;2.5
AG7250;GUIA;38.1;4.76;3.17
AG7272;GUIA;85.0;15.0;2.5
AG7273;GUIA;115.0;10.0;5.0
AG7274;GUIA;135.0;10.0;5.0
AG7319;GUIA;4.9;;
AG7339;GUIA;50.8;15.88;3.17
AG7352;GUIA;50.4;12.7;3.2
AG7356;GUIA;130.0;15.0;2.5
AG7357;GUIA;3.3;;
AG7358;GUIA;1.13;2.0;
AG7362;GUIA;47.9;22.5;1.45
AG7375;GUIA;110.0;15.0;3.15
AG7382;GUIA;69.0;31.5;3.0
AG7384;GUIA;3.0;1.0;
AG7415;GUIA;38.1;9.5;3.17
AG7423;GUIA;53.0;25.0;1.5
AG7436;GUIA;73.02;12.7;3.17
AG7442;GUIA;76.35;39.3;3.17
AG7446;GUIA;60.0;7.0;2.5
AG7447;GUIA;95.25;15.88;3.17
AG7469;GUIA;75.0;10.0;3.0
AG7476;GUIA;1.3;;
AG7477;GUIA;66.67;31.75;1.55
AG7481;GUIA;73.0;25.4;1.55
AG7507;GUIA;63.9;39.3;3.2
AG7512-2;GUIA;46.28;5.6;2.5
AG7570;GUIA;35.0;16.0;1.5
AG7629;GUIA;60.0;25.0;2.5
AG7646;GUIA;85.5;19.2;3.5
AG7691;GUIA;90.0;15.0;2.5
